IP,Host,Port,Subject_CN,Issuer_CN,SAN,Pubkey_Type,Pubkey_Bits,Sig_Algo,NotBefore,NotAfter,Validity_Days,Days_Remaining,Fingerprint,source
51.250.102.6,,443,*.adserv.ai,AlphaSSL CA - SHA256 - G4,*.adserv.ai;adserv.ai,rsa,4096,sha256WithRSAEncryption,2023-02-24T12:11:00,2024-03-27T12:10:59,396,-605,5b5db8cbbe7de727be94eb1d8412859ff924e59efd463b3d5503aaf6a899552c,nmap
52.77.194.240,,443,*.sonyliv.com,GeoTrust TLS RSA CA G1,*.sonyliv.com;sonyliv.com,rsa,2048,sha256WithRSAEncryption,2024-09-09T00:00:00,2025-10-08T23:59:59,394,-44,270c9fd1c559cebfc2b69045297945c9ead7ff086fd4144e2fd87a4ad1671680,nmap
54.155.178.5,,443,,Netflix Internal Services Intermediate Prod CA V10,apiproxy-website.cluster.eu-west-1.prod.cloud.netflix.net;apiproxy-website.dynprod.netflix.net;apiproxy-website.eu-west-1.dynprod.netflix.net;apiproxy-website.eu-west-1.prod.netflix.net;apiproxy-website.netflix.net;apiproxy-website.prod.netflix.net;apiproxy.app.eu-west-1.prod.cloud.netflix.net;apiproxy.dynprod.netflix.net;apiproxy.eu-west-1.dynprod.netflix.net;apiproxy.eu-west-1.prod.netflix.net;apiproxy.netflix.net;apiproxy.prod.netflix.net;ip-100-83-169-10.node.netflix.net;ip-2a05-d018-076c-b606-0000-0000-0000-9243.node.netflix.net;website.apiproxy.dynprod.netflix.net;website.apiproxy.eu-west-1.dynprod.netflix.net;website.apiproxy.eu-west-1.prod.netflix.net;website.apiproxy.netflix.net;website.apiproxy.prod.netflix.net,ec,256,ecdsa-with-SHA256,2025-11-07T14:11:11,2025-11-21T15:11:11,14,-1,1541f39b9bfdeefeb9c7a59c70feefb2f5946ab5f64204c9cabbf2e0f4c64172,nmap
66.203.124.30,,443,mega.co.nz,Sectigo RSA Domain Validation Secure Server CA,mega.co.nz;www.mega.co.nz,rsa,2048,sha256WithRSAEncryption,2024-10-19T00:00:00,2025-11-18T23:59:59,395,-3,f0d0ffa9c907629922ae6b90f79f7f79c99f80d60b81a7254ecd04817eee0dc1,nmap
78.194.169.74,,443,eu.org,CA Cert Signing Authority,eu.org;www.eu.org,rsa,2048,sha256WithRSAEncryption,2016-08-16T20:43:20,2017-02-12T20:43:20,180,-3205,5cd4f3c97bf46f85d2c739b9ed00cb14fa77771408ffe5de1abd3ad7ddff3cdf,nmap
82.148.20.137,,443,*.nativehub.com,Sectigo RSA Domain Validation Secure Server CA,*.nativehub.com;nativehub.com,rsa,4096,sha256WithRSAEncryption,2024-09-29T00:00:00,2025-10-30T23:59:59,396,-22,b709db69616ad38fcd351c12b07e422e7fbaa32f2ad5141312b596eb2a4f9f1d,nmap
84.17.37.217,,443,*.b-cdn.net,Sectigo RSA Domain Validation Secure Server CA,*.b-cdn.net;b-cdn.net,rsa,2048,sha256WithRSAEncryption,2024-11-05T00:00:00,2025-11-11T23:59:59,371,-10,569eb94986bf155da7490e1684e6d2ee805d1bc836bc1e07e092756a868b0c81,nmap
87.236.177.67,,443,m.anwap.today,GoGetSSL RSA DV CA,m.anwap.today;www.m.anwap.today,rsa,2048,sha256WithRSAEncryption,2024-08-13T00:00:00,2025-08-13T23:59:59,365,-100,d036dd09e806e0547a3763c7453a90722e70717a28fa85015242d3a3b5004250,nmap
91.228.166.47,,443,www.eset.com,Thawte RSA CA 2018,eset.com;www.eset.com,rsa,2048,sha256WithRSAEncryption,2022-12-13T00:00:00,2024-01-02T23:59:59,385,-689,def1d94230e1df69fb3512c05755ac45b4776b165901208d6da75f77be3c2172,nmap
91.239.5.95,,443,setup.keydisk.ru,R3,setup.keydisk.ru,rsa,2048,sha256WithRSAEncryption,2022-05-30T19:17:33,2022-08-28T19:17:32,89,-1182,84b29a4539174f3cf65bf4597085bf96b42fe919de5047adde461662501adb68,nmap
91.240.84.12,,443,parking,parking,,rsa,2048,sha256WithRSAEncryption,2023-10-30T12:47:32,2024-10-29T12:47:32,365,-389,297ac60d5dd1c1568913b1158e11c22907693de8ad74c4628592655b9db43b5f,nmap
